"","mos_ethnicity","complainant_ethnicity"
"612","White","Black"
"613","White","Black"
"614","White","Black"
"615","White","Black"
"616","White","Black"
"617","White","Black"
"618","White","Unknown"
"619","White","Unknown"
"620","White","Unknown"
"621","White","Unknown"
"622","White","Unknown"
"623","White","Unknown"
"624","White","Unknown"
"625","White","Black"
"626","White","Black"
"627","White","Black"
"628","White","Black"
"629","White","Black"
"630","White","Black"
"631","White","Black"
"632","White","Black"
"633","White","Black"
"634","White",NA
"635","White","Hispanic"
"636","White","Hispanic"
"637","White","Hispanic"
"638","White","Hispanic"
"639","White","Hispanic"
"640","White","Black"
"641","White",NA
"642","Hispanic","Unknown"
"643","Hispanic","Unknown"
"644","Hispanic","Unknown"
"645","Hispanic","Black"
"646","Hispanic","Black"
"647","Hispanic","Black"
"648","Hispanic","Unknown"
"649","Black","Black"
"650","Black","Black"
"651","Black","Black"
"652","Black","Black"
"653","Black","Black"
"654","Black","Black"
"655","Black","Black"
"656","Black","Black"
"657","Black","Black"
"658","Black","Black"
"659","Black","Black"
"660","Black","Black"
"661","Black","American Indian"
"662","Black","Black"
"663","Black","Black"
"664","Hispanic",NA
"665","Black","Black"
"666","Black","Black"
"667","Black","Black"
"668","Black","Black"
"669","Black","Black"
"670","Black","Black"
"671","Black","Black"
"672","Hispanic","White"
"673","Hispanic","White"
"674","Hispanic","Black"
"675","Hispanic",NA
"676","White",NA
"677","White","Black"
"678","White","White"
"679","Hispanic","Black"
"680","Hispanic","Black"
"681","Hispanic","Black"
"682","Hispanic","Black"
"683","Hispanic","Black"
"684","Hispanic","Black"
"685","Hispanic","Hispanic"
"686","Hispanic","Black"
"687","Hispanic","Black"
"688","Hispanic","Black"
"689","White","Unknown"
"690","White","Black"
"691","White","Black"
"692","White","Black"
"693","White","Black"
"694","White","Black"
"695","White","Black"
"696","White","Black"
"697","White","Black"
"698","White","Black"
"699","White","Black"
"700","White","Black"
"701","White","Unknown"
"702","White","Black"
"703","Hispanic",NA
"704","Hispanic","Black"
"705","Hispanic","Black"
"706","Hispanic","Black"
"707","Hispanic","Black"
"708","Hispanic","Black"
"709","Hispanic","Black"
"710","Hispanic","White"
"711","Hispanic",NA
"712","Hispanic",NA
"713","Hispanic","Black"
"714","Hispanic","Black"
"715","Hispanic","Black"
"716","Hispanic","Black"
"717","Hispanic","Black"
"718","Hispanic","Hispanic"
"719","Hispanic","Hispanic"
"720","Hispanic","Black"
"721","Hispanic","Black"
"722","Hispanic","Black"
"723","Hispanic","Black"
"724","Hispanic","Black"
"725","White","Black"
"726","White","Black"
"727","White","Black"
"728","White","Black"
"729","White","Black"
"730","White","Black"
"731","White","Black"
"732","White","Black"
"733","White","Black"
"734","White","Black"
"735","White","Black"
